Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Nalov .,"6 сентября 2024, отредактирован","Топ, учусь рядом, перемены совпадают и столько студентов возле магаза",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Милана Довганюк,16 августа 2024,"Поступала в 2023 году направление психология. Была воодушевлена поступлением и ожидала от данного универа только лучшее. Мои ожидания рухнули. 1 семестр прошел тяжело, так как мы пришли после школы никто толком не объяснили оценивание, выполнение заданий и срок задачи. Оценивание от преподавателей оставляет желать лучшего, занижают по баллам, переходят на «ТЫ» и используют нецензурную лексику по отношению к студентам. Лекции проходили в большинстве раз очень нудно. Многие просто засыпали)
Деканат-сущий ад. Не подойти не с одним вопросом так как начинаются крики, и нервотрепка. Жила в общежитии, про общагу ничего плохого сказать не могу, хорошие условия для проживания. Единственный минус универ не отапливался зимой, было очень холодно. Грелись как только могли, и ставили обогреватели. Ну и мое самое любимое-каждый твой шаг это деньги. Допуски, справки и.т.д После начала 2 семестра приняла решение перевестись в другой ВУЗ вот тут и началось самое веселое) Пришла в деканат с данным запросом, начали выносить мозг принеси то, заплати там. В итоге пишу заявление о переводе оплачиваю за эту же справку 7000тг. Хотя в деканате сказали что стоимость 1000) Деньги никто не вернул. Мои документы лежали больше 4-х месяцев у них так как они мне их просто не отдавали, объясняя это тем что им нужен документ о том что я поступила в другой ВУЗ. В итоге забрать документы получилось только под предлогом того что я никуда не иду учиться.
Крайне разочарована, и не советую туда поступать. Поберегите свое психическое здоровье🥰",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Nnn Erfutumorka,"13 августа 2024, отредактирован",у меня там жена учится,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Айзере Мухтар,"2 августа 2024, отредактирован",Прикольно можно сходить,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ivan Popov,1 июля 2024,"Если ты задумался, хотя бы на минуту, поступать или же нет. Не поступай.",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
М К,"26 мая 2024, отредактирован",Хороший университета,4,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ольга Романова,19 мая 2024,"Закончила 1 курс и хочу поделиться своими впечатлениями об этом университете. Поступила в 2023 году на юриспруденцию. По началу все нравилось ,но постепенно вся красивая картинка рухнула. Деканат ужасный,ведет себя неподобающе,постоянно хамят,могут даже использовать нецензурные выражения,а когда нужно взять справку или решить вопрос,то вообще не принимают и выгоняют.Зимой ,а именно с конца декабря,резко в университете стало холодно,будто вообще не топили учебное заведение. И так было всю зиму,мы сидели в куртках пытаясь согреться. Эту проблему с отоплением никак не решили,но зато у самого деканата было тепло в их кабинетах.
Преподаватели юриспруденции остаются в сердечке. Особенно хотелось бы выделить Анну Александровну,это потрясающий преподаватель. Анна Александровна прекрасно объясняет на парах материал,в любое свободное время можно к ней обращаться и она поможет,подскажет. Полюбила этого преподавателя всей душой.Другие преподаватели,предметы которых не относятся к профильным,то здесь спорно. Есть кто действительно хорошо объясняет,а есть кто материал нормально преподнести студентам не могут,так еще и оценивают непонятно. Каждый раз по-разному.Кто отвечает им ниже балл,кто молчит на семинарах им больше ставят. С оцениваем беда у некоторых преподавателей и даже если к ним подходишь решать вопрос ,то они попросту игнорируют это,либо выводят все на конфликт.
Что касается больничного ,так вообще жесть.Приносишь справку,чтобы взять допуск,так присутствует вечное недовольство со стороны деканата,бывало что даже не могли принять справку и выдать допуски,так как просто не дали зайти в их кабинет(говорили,что заняты)
На счет мероприятий это отдельная история…Посвящение студентов это был сущий кошмар.Остальные праздники которые мы праздновали : Хэллоуин, Новый год,наурыз.Они были очень скудные и неинтересные.
Здание всё в трещинах. Кругом бегают школьники.Все время заходят в университет посторонние люди.
И это все было написано в крации. Как итог,я перевожусь в другой ВУЗ",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Milya Wolf,"10 мая 2024, отредактирован","1. цена менялась
2. деканат ужасный, как к ним домой приходишь
3. студенческий отдел еще хуже, что то спросить - себе дороже
4. нас не хотели отправлять в Питер, говоря, что там нет нашей специальности и вообще нас должно быть много (оказалось неправда, просто держали, чтобы дальше платить за 4 курс заочки нашему филиалу)
5. студенческая жизнь и активность дальше курилки не заходит. раз в полгода наурыз и хэллоуин, подготовка которых оставляет желать лучшего
6. посвящение в студенты это вообще отдельная история
7. половина здания не принадлежит университету. где то школа, где то мери кей, чем это мешает? как минимум школьники пихаются в гардеробе, чтобы куртку быстрее забрать. места мало в здании, ни пройти ни проехать. в случае с мери кеем, заходят выходят левые люди вообще. спрашивают «куда вам?», спокойно отвечают в мери кей и заходят шатаются по всему зданию
8. даже за справку с места обучения приходится платить

единственный плюс это преподавательский состав. лично на нашей кафедре вообще не было претензий ни к одному из преподавателей. не у всех на парах интересно, но они как минимум вызывают уважение к себе. лояльные, толерантные, а главное компетентные люди. только за них можно поставить звезду

что насчет головного вуза в Питере… там просто куча правил, которые не соблюдаются в филиалах. лично нас они никак не напрягали, но тем, кто любит выражать себя - они не подойдут. снимайте пирсинги, перекрашивайте волосы и замазывайте татуировки. персонал к вам относится более требовательнее, чем в филиалах, но при этом ты чувствуешь себя там полноценным студентом серьезного вуза

головной филиал и алматинский - две разные планеты с разными системами управления. за алматинским филиалом никто не следит, поэтому руководство там делает что хочет настолько, что некомпетентное отношение было даже к преподам, не говоря уже о студентах

итог: не рекомендую. сдавайте ент и учитесь в более серьезных организациях либо езжайте получать образование зарубежом",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Wash YourPants,"29 марта 2024, отредактирован",Крутой третий этаж,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Kristina k,19 февраля 2024,ОЧЕНЬ ХОЛОДНО В УНИВЕРСИТЕТЕ!!!,1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Exit,17 февраля 2024,"Закончила этот университет и не пожалела) было познавательно, интересно и остались хорошие воспоминания , а главное знания
Преподаватели факультета психологии прекрасные!",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
….. …..,9 февраля 2024,"-Хочу начать с потребительского отношения к студентам от некоторых преподавателей и деканата, постоянное хамство, нельзя ничего узнать и уточнить зайдя к ним, разве так можно? Где субординация? Мы за что такие деньги платим? За то чтобы к нам обращались как к пустому месту??? Далее хотела выделить преподавателя, который не знает своих дисциплин и на парах рассказывает выдуманные истории, матерится, переходит на личности думая что ему все можно.
Мы не получаем знаний на его лекциях, но на семинарах с нас требуют как с ученых. Никто из вышестоящих не обращает на это внимание, как будто все так, как и должно быть.

- Есть хорошие, добрые, требовательные преподаватели, которые и правда хотят дать нам знания, очень хорошо объясняют, уважительно относятся к студентам, рассказывают о своем опыте в сфере их деятельности для большего интереса к предмету и к профессии.

- Но этот преподаватель это НЕРЕАЛЬНО ОГРОМНЫЙ ЖИРНЫЙ МИНУС этого Университета!!!!!

- Жаль что от этого отзыва ничего не поменяется люди работающие в деканате так и будут злые и неуважительные, а этот преподаватель так и будет там работать!!!!!

Уважаемые родители пожалуйста не отдавайте своих детей в этот университет, ( оплата растет каждую секунду) пока этот преподаватель не уйдет на пенсию.

- Я вас призываю! Пожалуйста не нужно вам тратить деньги на такой университет, один человек будет портить ваш процесс обучения",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Aibek Seidanov,"22 ноября 2023, отредактирован",Отличный ВУЗ,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Диана Ибрагимова,"20 ноября 2023, отредактирован","Очень классный университет персонал очень добрый, вежливые постоянно тама бываю",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Қайрат Салимбетов,18 ноября 2023,"Был в университете и хочу отметить, что туалеты там на удивление были чистые. Всё блестит, никаких проблем с гигиеной не заметил. Респект обслуживающему персоналу за такую работу!",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Wx Rv,"16 ноября 2023, отредактирован","Вуз топ, лучше чем головной",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Дарига Авозяинка,"3 ноября 2023, отредактирован","Баллада о зря потраченном времени.
Мнение субъективное, опыт реальный.
В данном университете я обучалась три года, начиная с 2019. Обучалась на направлении СКД, то самое ""тамада с дипломом"". В целом, это выражение в полной мере отражает реальную пользу обучения. Только тамада обычно хотя бы обучен устраивать свадьбы, не так ли?
Если говорить о связанных с направлением программах и предметах - пользы, в сущности, никакой. Беспощадное и бессмысленное пережевывание одной и той же информации о какой-то абстрактной ""социальной анимации"", дающее нулевое фактическое представление о будущей деятельности. Перечислить виды праздников - да, научиться их организовывать - нет. Не знаю, возможно все эти секреты таятся на четвертом и пятом курсах, до куда я, к счастью, не добралась.
Отношение деканата к студентам временами откровенно безобразное, сотрудницы с вами вопросы по учебе доброжелательно обсуждать не будут.
Причин для разочарования в университете было две, последняя и послужила моему отчислению.
Разочарование первое: в 2020 году выяснилось, что в головной ВУЗ на четвертый курс нас никто не отправит. В группе было недостаточно людей. Сейчас я этому, кстати, рада. В гости к пэ езжать не особенно хочется.
Разочарование второе: к середине третьего курса мой отец умер от коронавируса и, соответственно, возможности оплачивать обучение дальше у меня не было. На вопрос об академическом отпуске мне ответили, что его нет и взять я его не могу. Возможно, подразумевалось, что причина была недостаточно уважительной (действительно). Я подумала, что терять нечего и отчислилась. Позже выяснилось, что академический отпуск тут все же существует. Занятно.
Отчислилась и не жалею. Живу в Словакии. Из положительного: благодарна ВУЗУ за знакомство со своими одногруппниками.
Также, хочу поблагодарить Гульзиру Олжабековну, Татьяну Владимировну, Мадину Кенжебековну, Паршукову Наталью Владимировну, Валерия Николаевича, Анатолия Анатольевича, Елену Олеговну и Козыреву Наталью Владимировну.",2,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Елена Цветкова,10 октября 2023,"Просто хамское отношение к студентам со стороны некоторых преподавателей, именующих себя ""доцентами кафедры"".",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Светлана Егорова,21 сентября 2023,"В столовою нашего Универа,советую не ходить.
Там все не вкусно не свежее ФОРМА У ВСЕХ БЕЛАЯ КРАСИВАЯ НО ГОТОВЯТ НЕ ВКУСНО И ОТВРАТИТЕЛЬНО🤮🤢 .
Три дня назад было все свежее и вкусное пирожки были классные манты вкусные👍👍👍а сейчас не советую ходить все не вкусное отвратительное.",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Сауле Садыкова,24 августа 2023,Шарашкина контора 🤦‍♀️,1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Катерина 👀💚,26 июля 2023,"Отвратительный универ,особенно в Петербурге",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Тони Тони,25 июля 2023,"Закончила в этом году АФСПБГУП. Минусы, как и у всех вузов, есть. Но плюсы в виде большого количества практики и качественной подачи материала их перекрывают",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Наталья Апросина,20 июля 2023,"Хороший университет, дочке во время практики предложили работу ,сейчас работает юристом в хорошей компании. Советую",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Элина Элина,18 июля 2023,"Спасибо моему универу, за прекрасные студенческие годы",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Катя Щедринова,16 июня 2023,"Наша школа снимает помещение у университета . В принципе неплохо. Но проблемы с ремонтом , также наши окна находятся рядом с курилкой и каждый день мы чувствовали запах сигарет. Учителя неплохие , есть те благодаря кому хочется заниматься . Есть те кто наоборот",3,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
XXX Xer,8 июня 2023,Куда смотрит министерство образования!,1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Аня Борецкая,19 мая 2023,Хороший университет👍,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Весельчак Иванович,15 мая 2023,"Учусь в данном университете. Пока что мне все нравится. С недавних пор у нас сменился директор, с тухлого электрика, который занимался ни пойми чем и опустил университет на дно, на прекрасного настоящего директора Аубакирову Анну Александровну - доктора юридических наук, она пытается всеми силами поднять университет на ноги, после этого обмудка, но как полагается нужно для этого всего время. На счет обучения, кафедра юриспруденции самая сильная кафедра в университете, где реально и достойно дадут тебе образование, а не просто будешь сидеть и хлопать ушами. А на 2 курсе тебя отправят на практику именно университет, а не ты сам будешь бегать и искать где же пройти практику. На счет других кафедр сказать не могу ничего. Но есть 1 минус который очень меня расстраивает это Хатько Ирина Геннадьевна, которая не очень уважительно относится к студентам объясняя это сложно ситуацией сложившейся в ее семье. Так университет , хороший. Больше минусов пока не нашли, надеюсь при новом директоре университет расцветет и будет таким же хорошим как ранее.",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Алина Огаркова,12 мая 2023,"Лучше универа и представить нельзя , если сомневаешься, что тебе именно сюда, будь уверен , это место будет самым ярким в твоей жизнедеятельности 😍 спасибо всем кто причастен к СпбГУП АФ",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Ника Элисон,10 мая 2023,"Тюрьма,а не учебное учреждение. Студентов за людей не принимают. Деканат вообще что-то с чем-то. Орут, оскорбления постоянные, у охраны нет никакой субординации. Образование 0. Квалификация преподов 0.Преподы на парах могут открыть википедию и читать информацию. За что деньги платились ?Медпункт вообще угар, фраза"" если вам плохо,нафиг вы ко мне пришли? Идите домой!"" Оплату поднимают постоянно, каждый год, плюс еще и требуют заранее оплачивать. Не успеешь первый семак закрыть, так как тебе уже говорят плати за следующий год. Люди не поступайте сюда и не советуйте этот вуз. Берегите психику, такое вообще и врагу не пожелаешь!Есть в вузе конечно хорошие преподы, но и ..... хватает! Баллы от балды ставят,занижают оценки, предвзятое отношение к студентам. Как цепные псы. Все,что вам говорят в приемке при поступлении - ЭТО ВСЕ ПЫЛЬ ! Надеюсь,что когда-нибудь закроют данное место.Не ведитесь,что типо поступить можно без ент. Лучше сдайте, пусть у вас хотя бы КТ будет, на всякий случай. Да,поступаете без сдачи ент, но вы 200 раз пожалеете,что вы его не сдали! Поступление очень простое, вы платите сначала бабки за 1 курс, а потом сдаете экзамены. Разумеется схема понятна,что в любом случае вы сдадите данные экзамены!Минус в том,что хрен вы потом куда сможете перевестись, деньги никто не вернет, переводить доки вам не будут! Как однажды сказал один препод,нам нужны от Вас ваши деньги. Как только вы заплатите, сразу на крючке у универа! Просто так вы не уйдёте с вуза, сможете только в негосударственное учреждения РК. С таким успехом проще в Синергию уйти. Там вы железно получите диплом, а здесь бабка вилами по воде писала,сможете ли вы его вообще получить.А еще преподы позволяют себе порвать вашу работу и бросить листы в лицо студенту. И еще сказать,чтобы вы подтерлись своими бумагами. Поддерживаю все отрицательные отзывы, положительные пишет только сам уник, заставляя студентов писать. Жаль нельзя отзывы минусовыми звездами ставить.",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Zarina Paragulgova,5 мая 2023,"Мой любимый университет ♥️
Отличные преподаватели
Уже прошло 5 лет,но до сих пор самые теплые воспоминания 🥰🥰
Образование на высшем уровне,отличное отношение к студентам,добрая атмосфера! Было бы 100 звезд не жалея бы поставила!",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Даниил Грац,24 апреля 2023,Прекрасное место что бы научиться чему то новому и полететь в СПб и развиваться дальше,5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Эльвин Алиев,24 апреля 2023,"Хороший Университет. Сильные преподаватели. Большой плюс, что имеется комфортное общежитие",5,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Тая Куркова,31 марта 2023,"Ужаснейшее место! Ужасно пожалела,что поступила к ним. На экзамене преподаватели спят, учебный отдел общается будто к ним домой пришёл. Большая часть преподавателей собирает конверты в слепой зоне. Видимо на Запесоцкого адекватные люди работать не могут, не важно в какой стране",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
Дарья Булатова,"24 марта 2023, отредактирован","можете пожалуйста уволить женщин, которые работают в деканате. Они слишком много грубят, да и вообще, наверное устали работать. Им хватит уже, пожалейте этих женщин и бедных студентов, которым приходится с ними общаться!",1,Санкт-Петербургский Гуманитарный университет профсоюзов,4.1,418
ADik S,"сегодня, отредактирован",не стойт вообще поступать,1,Туран,4.3,2592
Ержан Кадырбек,11 апреля 2025,Заходит трудно,1,Туран,4.3,2592
Наталья Ким,"8 апреля 2025, отредактирован","Ох и настрадалась же я тут!!!
Начну с преподов,они живут в своем мире где они профессора мирового масштаба и им все должны,в их взгляде вы увидите знаменитую фразу «вы все г….»,ставят баллы как попало!
Ставят высокие баллы тем кого ни разу не видели,если возмущаетесь намекают и просят «чем нибудь помочь», преподы оценивают по внешности,пытаются навязать свое мнение, на весь вуз 1-2 адекватных препода!
Практики нет от слова совсем,нам препод сам поставил печать
Бухгалтера и медсестры постоянно нет на месте! В медпункте не было элементарного сальбутамола,в приступе астмы ушла домой ни с чем,покивали головой и оптравили дмомой.По семейным обстоятельствам нужно было уйти,документы мне не дали еще и сверху накинули еще 500к,пришлось доучиваться!
Охранники с которыми здароваешься все 4 года,когда потеряешь или забудешь пропускной скажут «эээ сен кым былмеймын сени кет жолды торамай»
В туалете нет бумаги,в женском никто не убирает!
На выпускной просили 10к с каждого,знакомые прошлогодки сказали что им даже стулья не дали,мы группой отказались,нам выдали дипломы даже не впустили внутрь вуза!
Диплом мне выдали с ошибкой в фамилии из трех букв) все лето бегала туда сюда
На работу не берут увидев диплом турана,практически все отказывают и смеются видя диплом,в итоге полгода сижу!
Миллион двести на смарку!
Не поступайте сюда!
Я могла бы еще многое написать,но тут коменты удаляют!
Мой муж тоже тут учился на журфаке,говорит редкостная помойка",1,Туран,4.3,2592
Arailym 🤍,"5 апреля 2025, отредактирован",Күшті универ,5,Туран,4.3,2592
Pepper Asnole,"4 апреля 2025, отредактирован",Ну че это за дела,2,Туран,4.3,2592
Айдана,"2 апреля 2025, отредактирован",Охранник ужасный!!!!! Очень грубый Особенно человек который там сидит,1,Туран,4.3,2592
Эльмира Куба,"1 апреля 2025, отредактирован",😎,5,Туран,4.3,2592
merukosha 🫦,"30 марта 2025, отредактирован","отличный универ вы что. этот университет настоящий находка для студентов: современные условия, удобный лифт и качественное питание создают комфортную атмосферу для учебы и жизни.",5,Туран,4.3,2592
Dilyara,29 марта 2025,"Сегодня университет организовал GameFirst, просто супер! Организация мероприятия на высшем уровне!",5,Туран,4.3,2592
Руководитель аппарата,28 марта 2025,"Уважаеамый Рахман Алшанович ! Просим обратить внимание на проблему с питьевой водой внутри университета. В учебном заведении, где мы проводим значительную часть дня, нет бесплатных кулеров с водой. При этом единственная альтернатива – покупка воды в магазине, где цены завышены.

Считаем, что наличие питьевой воды – это базовый комфорт для студентов, особенно учитывая, что мы оплачиваем обучение. Надеемся на Ваше понимание и скорое решение этого вопроса. Образование должно давать знания, а не жажду. Университет – это место развития, а не бизнес на воде и еде)",2,Туран,4.3,2592
Yo Landi,27 марта 2025,"Полный бардак в бухгалтерии, наплевательское отношение к студентам и никакой ответственности за свои ошибки.
Когда я училась на 4 курсе, столкнулась с наглой попыткой обмана со стороны бухгалтерии. Мне нужно было оплатить 165 000 тенге, но эти бухгалтерши заявили, что сумма — 218 000 тенге. Когда я попыталась разобраться, они просто отмахнулись: «Ничего не знаю, плати», не давая никаких объяснений.

Я рассказала об этом маме, и она тоже начала сомневаться. Я поехала разбираться. В итоге выяснилось, что они специально записали меня на оплату за другого человека, пытаясь вытащить лишние деньги, возможно, себе в карман. Если бы я не настояла на проверке, мне пришлось бы платить за чужого студента. После разбирательств сумму исправили, но никто даже не извинился.

Этот случай показал, что в этом университете могут спокойно пытаться навесить чужой долг на студента. Будьте осторожны, проверяйте каждую сумму и не верьте бухгалтерии на слово. Если видите что-то подозрительное – требуйте разъяснений и отстаивайте свои деньги.
Университет с таким отношением к студентам вызывает большие сомнения. Будьте внимательны при оплате, перепроверяйте все суммы!

Туран UEBISHE",1,Туран,4.3,2592
Nurdaulet Urazaly,"26 марта 2025, отредактирован",Все а**енно все чётко особенно SHISAI просто выступили огонь 🔥 🔥,5,Туран,4.3,2592
ogmsh .,26 марта 2025,"Кормят вкусно, но дорого, так себе кафешка",2,Туран,4.3,2592
Вадим Костицын,"25 марта 2025, отредактирован",Какао очень вкусное 🔥,5,Туран,4.3,2592
zhaina .,"21 марта 2025, отредактирован","посещала универ недавно, как абитурент. участвовала в одной олимпиаде. возникала проблема насчет регистрации и я обращалась на ватсап приемной комиссии. таких грубых специалистов я честно в жизни не видала. одна женщина отвечала чисто голосовыми, не знаю каких специалистов вы набираете, судя по ним вам важно только грубое обращение к людям и студентам. записала тысячу голосовых вместо сообщений, наорала, тыкала. общалась как с тyпым, слабоумным человеком. в этом минус. пропало полностью все желание туда поступать, если честно!",3,Туран,4.3,2592
Jasmin D,"19 марта 2025, отредактирован",Замечательный университет 💙,5,Туран,4.3,2592
LEV .,19 марта 2025,🙌🏻🙌🏻🙌🏻,5,Туран,4.3,2592
Егор Кобрин,16 марта 2025,"Учусь на курсе высшей школы психологии. Честно, посетил пару универов, и этот оказался самым запоминающимся. Учителя моей специальности-профессионалы своего дела! Отдельное спасибо Алине Дмитриевне. Такого оригинального и живого подхода к обучению ещё не было нигде. Дарья Алексеевна лучший эдвайзер! Желаю всем угодить к ней ;)))",5,Туран,4.3,2592
Дмитрий Герлиц,"15 марта 2025, отредактирован","Обучение, развитие и образование студентов, удобства и организация других процессов на достойном высоком уровне. Состав педагогов и директора профессиональный. Интерьер помещений и экстерьер здания многим учебным заведениям в пример.",5,Туран,4.3,2592
Насвэгал 228,14 марта 2025,Свэга не получил😭,3,Туран,4.3,2592
Аяжан Қайыржан,14 марта 2025,"Всем абитуриентам, не поступайте сюда ни в коем случае! Только так вы сохраните свои нервы. Если вы хотите в казахское отделение то будьте готовы что вас просто заставят написать заявление о переводе в русское, согласны ли вы или нет им все равно.",1,Туран,4.3,2592
Anuar Jr,14 марта 2025,"Бухгалтерия топ!!! Не было возможности подойти в универ и решил попросить друга спросить на счет того, сколько мне надо еще оплатить за обучение и почему у меня появилась пеня, хотя я платил на перед. И вооот, моего друга можно сказать, что послали, а именно сказали, что: «твоему другу надо, пусть и приходит, тебе ничего не скажу, надо будет, позже подойдет»
Туран поражает с каждым днем )))
Была бы возможность, я поставил 0",1,Туран,4.3,2592
123 Aiko,"12 марта 2025, отредактирован","Это самое ужасное учебное заведение, которое может быть. Сейчас будет не просто негатив без оснований. А серьезное пояснение своих слов. Я готова отвечать за свой слова лично.

1. Диплом колледжа и университета Туран котируется только на территории колледжа и университета Туран.
Даже при условии, что вы закончите на красный диплом, потратив здесь (не дай господь) 5 лет, то это все будет зря.

2. Выпускников Туран не берут на работу.
В колледже и университете Туран не обучают нормально базовым знаниям в области, на которую учиться студент. Очень много примеров когда брали выпускника Турана и он крупно облажался и его уволили с шумом. Об этом знает вся Алмата, что выпускники Турана ничего не умеют, так как их не обучают. Учителя ничем не занимаются. Не умеют преподавать. Когда приходишь на пару, они несут какой то бред не по теме. А при жалобе на руководство, ваша жалоба магическим образом исчезает. Даже если она оформлена официально. Образование на ужасном уровне. Преподаватели ничего не объясняют, а в конце года просят объяснить то, что они сами не поняли.

3. Преподавательский состав и руководство выбирает любимчиков и готовы их тянут до последнего. Если вы не попали по внешним причинам их запросам, то у вас будут проблемы.
Вас не будут замечать, будут игнорировать, не будут развернуто отвечать на поставленные вопросы об образовании. Вообщем, весь букет. А если вы попытаетесь игнорировать это положение, у вас это не получится

4. Руководством игнорирует поставленные вопросы и после каждого комментария в это приложение, собирают студентов в актовом и по микрофону говорят о том, какие студенты глупые, а руководство и учителя бедные жертвы. Вообщем, жалкое зрелище. Если не любите театр, то не поступайте

5. Ваше банальное спокойствие
Я бы мог/ла написать больше, но пока что до следующего собрания в актовом хватает

Желаю удачи и не поступления в Туран)))",1,Туран,4.3,2592
